,id,beats,pitches,tuple_beat_and_pitch,midi
16,16,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[43, 39, 51, 43, 41, 45, 47, 44], [48, 46, 49, 39, 49, 49], [57, 58], [56, 56, 61, 57, 59], [54, 57, 63, 62], [63, 56, 55, 61], [58, 61, 58, 49], [61, 52, 54, 50]]","[[(2, 43), (3, 39), (5, 51), (6, 43), (8, 41), (10, 45), (11, 47), (12, 44)], [(1, 48), (6, 46), (7, 49), (9, 39), (10, 49), (11, 49)], [(5, 57), (8, 58)], [(4, 56), (5, 56), (6, 61), (8, 57), (12, 59)], [(1, 54), (2, 57), (4, 63), (5, 62)], [(1, 63), (6, 56), (7, 55), (10, 61)], [(2, 58), (4, 61), (8, 58), (9, 49)], [(2, 61), (4, 52), (5, 54), (11, 50)]]",lstm_midis/lstm_song16.mid
17,17,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[36, 33, 43, 38, 34, 35, 38, 37], [39, 40, 43, 35, 37, 43], [54, 57], [53, 52, 59, 54, 56], [51, 53, 61, 61], [60, 55, 51, 59], [58, 60, 59, 46], [61, 51, 56, 52]]","[[(2, 36), (3, 33), (5, 43), (6, 38), (8, 34), (10, 35), (11, 38), (12, 37)], [(1, 39), (6, 40), (7, 43), (9, 35), (10, 37), (11, 43)], [(5, 54), (8, 57)], [(4, 53), (5, 52), (6, 59), (8, 54), (12, 56)], [(1, 51), (2, 53), (4, 61), (5, 61)], [(1, 60), (6, 55), (7, 51), (10, 59)], [(2, 58), (4, 60), (8, 59), (9, 46)], [(2, 61), (4, 51), (5, 56), (11, 52)]]",lstm_midis/lstm_song17.mid
18,18,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[62, 57, 68, 61, 64, 63, 66, 62], [63, 62, 63, 59, 69, 66], [57, 57], [57, 57, 62, 57, 60], [55, 58, 64, 61], [63, 55, 58, 61], [55, 58, 56, 45], [58, 50, 51, 46]]","[[(2, 62), (3, 57), (5, 68), (6, 61), (8, 64), (10, 63), (11, 66), (12, 62)], [(1, 63), (6, 62), (7, 63), (9, 59), (10, 69), (11, 66)], [(5, 57), (8, 57)], [(4, 57), (5, 57), (6, 62), (8, 57), (12, 60)], [(1, 55), (2, 58), (4, 64), (5, 61)], [(1, 63), (6, 55), (7, 58), (10, 61)], [(2, 55), (4, 58), (8, 56), (9, 45)], [(2, 58), (4, 50), (5, 51), (11, 46)]]",lstm_midis/lstm_song18.mid
19,19,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[32, 29, 41, 35, 24, 31, 29, 33], [33, 36, 42, 30, 33, 37], [54, 57], [53, 52, 60, 55, 56], [51, 52, 61, 62], [60, 55, 51, 59], [57, 61, 59, 48], [60, 52, 54, 49]]","[[(2, 32), (3, 29), (5, 41), (6, 35), (8, 24), (10, 31), (11, 29), (12, 33)], [(1, 33), (6, 36), (7, 42), (9, 30), (10, 33), (11, 37)], [(5, 54), (8, 57)], [(4, 53), (5, 52), (6, 60), (8, 55), (12, 56)], [(1, 51), (2, 52), (4, 61), (5, 62)], [(1, 60), (6, 55), (7, 51), (10, 59)], [(2, 57), (4, 61), (8, 59), (9, 48)], [(2, 60), (4, 52), (5, 54), (11, 49)]]",lstm_midis/lstm_song19.mid
20,20,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[70, 70, 69, 71, 70, 72, 74, 71], [72, 73, 71, 69, 75, 71], [58, 57], [58, 58, 63, 57, 61], [55, 60, 65, 61], [64, 56, 60, 62], [58, 61, 59, 49], [61, 53, 54, 50]]","[[(2, 70), (3, 70), (5, 69), (6, 71), (8, 70), (10, 72), (11, 74), (12, 71)], [(1, 72), (6, 73), (7, 71), (9, 69), (10, 75), (11, 71)], [(5, 58), (8, 57)], [(4, 58), (5, 58), (6, 63), (8, 57), (12, 61)], [(1, 55), (2, 60), (4, 65), (5, 61)], [(1, 64), (6, 56), (7, 60), (10, 62)], [(2, 58), (4, 61), (8, 59), (9, 49)], [(2, 61), (4, 53), (5, 54), (11, 50)]]",lstm_midis/lstm_song20.mid
21,21,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[46, 44, 56, 51, 44, 47, 48, 50], [48, 51, 52, 43, 51, 52], [56, 57], [56, 55, 61, 56, 59], [54, 57, 64, 61], [62, 55, 56, 61], [55, 58, 56, 43], [58, 49, 53, 47]]","[[(2, 46), (3, 44), (5, 56), (6, 51), (8, 44), (10, 47), (11, 48), (12, 50)], [(1, 48), (6, 51), (7, 52), (9, 43), (10, 51), (11, 52)], [(5, 56), (8, 57)], [(4, 56), (5, 55), (6, 61), (8, 56), (12, 59)], [(1, 54), (2, 57), (4, 64), (5, 61)], [(1, 62), (6, 55), (7, 56), (10, 61)], [(2, 55), (4, 58), (8, 56), (9, 43)], [(2, 58), (4, 49), (5, 53), (11, 47)]]",lstm_midis/lstm_song21.mid
22,22,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[64, 66, 67, 69, 63, 63, 65, 69], [65, 68, 64, 67, 71, 63], [57, 57], [58, 57, 62, 56, 60], [55, 58, 64, 61], [63, 56, 59, 61], [53, 56, 54, 42], [56, 47, 49, 43]]","[[(2, 64), (3, 66), (5, 67), (6, 69), (8, 63), (10, 63), (11, 65), (12, 69)], [(1, 65), (6, 68), (7, 64), (9, 67), (10, 71), (11, 63)], [(5, 57), (8, 57)], [(4, 58), (5, 57), (6, 62), (8, 56), (12, 60)], [(1, 55), (2, 58), (4, 64), (5, 61)], [(1, 63), (6, 56), (7, 59), (10, 61)], [(2, 53), (4, 56), (8, 54), (9, 42)], [(2, 56), (4, 47), (5, 49), (11, 43)]]",lstm_midis/lstm_song22.mid
23,23,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[12, 9, 30, 14, 9, 12, 16, 13], [21, 19, 26, 14, 25], [55, 57], [54, 53, 60, 57, 58], [52, 54, 62, 61], [61, 55, 51, 61], [56, 59, 58, 45], [60, 50, 54, 50]]","[[(2, 12), (3, 9), (5, 30), (6, 14), (8, 9), (10, 12), (11, 16), (12, 13)], [(1, 21), (6, 19), (7, 26), (10, 14), (11, 25)], [(5, 55), (8, 57)], [(4, 54), (5, 53), (6, 60), (8, 57), (12, 58)], [(1, 52), (2, 54), (4, 62), (5, 61)], [(1, 61), (6, 55), (7, 51), (10, 61)], [(2, 56), (4, 59), (8, 58), (9, 45)], [(2, 60), (4, 50), (5, 54), (11, 50)]]",lstm_midis/lstm_song23.mid
24,24,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[75, 75, 75, 79, 76, 79, 79, 77], [77, 81, 76, 77, 83, 75], [57, 56], [58, 57, 62, 56, 60], [55, 59, 64, 61], [63, 55, 60, 61], [58, 59, 57, 49], [59, 52, 51, 47]]","[[(2, 75), (3, 75), (5, 75), (6, 79), (8, 76), (10, 79), (11, 79), (12, 77)], [(1, 77), (6, 81), (7, 76), (9, 77), (10, 83), (11, 75)], [(5, 57), (8, 56)], [(4, 58), (5, 57), (6, 62), (8, 56), (12, 60)], [(1, 55), (2, 59), (4, 64), (5, 61)], [(1, 63), (6, 55), (7, 60), (10, 61)], [(2, 58), (4, 59), (8, 57), (9, 49)], [(2, 59), (4, 52), (5, 51), (11, 47)]]",lstm_midis/lstm_song24.mid
25,25,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[48, 54, 59, 53, 46, 49, 54, 54], [52, 54, 55, 50, 51, 55], [57, 57], [57, 56, 61, 57, 59], [54, 57, 63, 61], [62, 56, 57, 61], [55, 57, 56, 45], [58, 49, 51, 46]]","[[(2, 48), (3, 54), (5, 59), (6, 53), (8, 46), (10, 49), (11, 54), (12, 54)], [(1, 52), (6, 54), (7, 55), (9, 50), (10, 51), (11, 55)], [(5, 57), (8, 57)], [(4, 57), (5, 56), (6, 61), (8, 57), (12, 59)], [(1, 54), (2, 57), (4, 63), (5, 61)], [(1, 62), (6, 56), (7, 57), (10, 61)], [(2, 55), (4, 57), (8, 56), (9, 45)], [(2, 58), (4, 49), (5, 51), (11, 46)]]",lstm_midis/lstm_song25.mid
26,26,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[51, 54, 62, 58, 56, 54, 57, 57], [54, 58, 59, 56, 58, 58], [57, 58], [58, 57, 62, 57, 60], [55, 58, 65, 62], [63, 56, 58, 62], [59, 62, 60, 50], [63, 54, 55, 52]]","[[(2, 51), (3, 54), (5, 62), (6, 58), (8, 56), (10, 54), (11, 57), (12, 57)], [(1, 54), (6, 58), (7, 59), (9, 56), (10, 58), (11, 58)], [(5, 57), (8, 58)], [(4, 58), (5, 57), (6, 62), (8, 57), (12, 60)], [(1, 55), (2, 58), (4, 65), (5, 62)], [(1, 63), (6, 56), (7, 58), (10, 62)], [(2, 59), (4, 62), (8, 60), (9, 50)], [(2, 63), (4, 54), (5, 55), (11, 52)]]",lstm_midis/lstm_song26.mid
27,27,"[[2, 3, 5, 6, 8, 10, 11, 12], [1, 6, 7, 9, 10, 11], [5, 8], [4, 5, 6, 8, 12], [1, 2, 4, 5], [1, 6, 7, 10], [2, 4, 8, 9], [2, 4, 5, 11]]","[[30, 26, 43, 33, 28, 30, 34, 32], [35, 34, 39, 25, 34, 38], [57, 58], [56, 56, 62, 57, 59], [54, 57, 64, 62], [63, 56, 55, 62], [57, 60, 58, 46], [60, 51, 54, 49]]","[[(2, 30), (3, 26), (5, 43), (6, 33), (8, 28), (10, 30), (11, 34), (12, 32)], [(1, 35), (6, 34), (7, 39), (9, 25), (10, 34), (11, 38)], [(5, 57), (8, 58)], [(4, 56), (5, 56), (6, 62), (8, 57), (12, 59)], [(1, 54), (2, 57), (4, 64), (5, 62)], [(1, 63), (6, 56), (7, 55), (10, 62)], [(2, 57), (4, 60), (8, 58), (9, 46)], [(2, 60), (4, 51), (5, 54), (11, 49)]]",lstm_midis/lstm_song27.mid
