,beat,pitch,beat_pitch,midi
96,"[[1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 2, 3, 4, 8, 9, 11, 12], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9], [1, 2, 3, 5, 7, 8, 9], [1, 2, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 9]]","[[73, 69, 71, 69, 67, 70, 72, 69, 71, 74], [73, 71, 73, 74, 74, 64, 60, 57], [73, 74, 76, 74, 79, 76, 77, 70, 74, 76], [73, 71, 72, 71, 72, 71, 67, 69, 69, 67], [73, 74, 76, 79, 77, 74, 73, 74, 76], [73, 71, 72, 69, 69, 73, 71], [73, 74, 73, 74, 69, 72, 70, 69], [73, 81, 78, 79, 76, 74]]","[[(1, 73), (2, 69), (3, 71), (4, 69), (5, 67), (7, 70), (8, 72), (9, 69), (11, 71), (12, 74)], [(1, 73), (2, 71), (3, 73), (4, 74), (8, 74), (9, 64), (11, 60), (12, 57)], [(1, 73), (2, 74), (3, 76), (4, 74), (5, 79), (7, 76), (8, 77), (9, 70), (11, 74), (12, 76)], [(1, 73), (2, 71), (3, 72), (4, 71), (5, 72), (7, 71), (8, 67), (9, 69), (11, 69), (12, 67)], [(1, 73), (2, 74), (3, 76), (4, 79), (5, 77), (6, 74), (7, 73), (8, 74), (9, 76)], [(1, 73), (2, 71), (3, 72), (5, 69), (7, 69), (8, 73), (9, 71)], [(1, 73), (2, 74), (3, 73), (4, 74), (5, 69), (7, 72), (8, 70), (9, 69)], [(1, 73), (3, 81), (4, 78), (5, 79), (7, 76), (9, 74)]]",<music21.stream.Stream 0x1a3448f6ac0>
97,"[[1, 5, 7, 8, 9, 11, 12], [1, 4, 5, 6, 7, 8, 9, 11, 12], [1, 3, 4, 5, 6, 7, 8, 9, 11], [1, 3, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 6, 7, 8, 9], [1, 5, 6, 7, 8, 9], [1, 3, 5, 6, 7, 8, 9]]","[[77, 72, 71, 74, 64, 74, 77], [77, 79, 82, 72, 70, 72, 74, 74, 72], [77, 65, 64, 65, 64, 66, 67, 66, 66], [77, 81, 81, 81, 72, 72, 70], [77, 76, 78, 76, 79, 77, 76], [77, 77, 79, 78, 79, 77, 79, 77], [77, 76, 74, 78, 74, 76], [77, 79, 77, 74, 78, 76, 77]]","[[(1, 77), (5, 72), (7, 71), (8, 74), (9, 64), (11, 74), (12, 77)], [(1, 77), (4, 79), (5, 82), (6, 72), (7, 70), (8, 72), (9, 74), (11, 74), (12, 72)], [(1, 77), (3, 65), (4, 64), (5, 65), (6, 64), (7, 66), (8, 67), (9, 66), (11, 66)], [(1, 77), (3, 81), (5, 81), (7, 81), (8, 72), (9, 72), (11, 70)], [(1, 77), (3, 76), (4, 78), (5, 76), (7, 79), (8, 77), (9, 76)], [(1, 77), (3, 77), (4, 79), (5, 78), (6, 79), (7, 77), (8, 79), (9, 77)], [(1, 77), (5, 76), (6, 74), (7, 78), (8, 74), (9, 76)], [(1, 77), (3, 79), (5, 77), (6, 74), (7, 78), (8, 76), (9, 77)]]",<music21.stream.Stream 0x1a34498e3a0>
98,"[[1, 3, 4, 5, 6, 7, 8, 9, 11], [1, 2, 3, 4, 5, 6, 7, 8, 9, 11], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 6, 7, 9, 11], [1, 2, 3, 5, 6, 7, 9, 11], [1, 2, 3, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 5, 7, 8, 9, 11, 12]]","[[70, 70, 69, 70, 72, 71, 69, 72, 70], [70, 69, 67, 66, 67, 65, 67, 70, 70, 69], [70, 72, 77, 79, 78, 76, 80, 76], [70, 69, 70, 69, 69, 72, 71, 73], [70, 58, 60, 60, 59, 60, 60, 70], [70, 69, 71, 72, 71, 68, 69, 69], [70, 69, 65, 69, 71, 72, 70, 79, 76, 74], [70, 69, 67, 69, 67, 64, 65, 69, 67]]","[[(1, 70), (3, 70), (4, 69), (5, 70), (6, 72), (7, 71), (8, 69), (9, 72), (11, 70)], [(1, 70), (2, 69), (3, 67), (4, 66), (5, 67), (6, 65), (7, 67), (8, 70), (9, 70), (11, 69)], [(1, 70), (3, 72), (4, 77), (5, 79), (7, 78), (8, 76), (9, 80), (11, 76)], [(1, 70), (3, 69), (4, 70), (5, 69), (7, 69), (8, 72), (9, 71), (11, 73)], [(1, 70), (3, 58), (4, 60), (5, 60), (6, 59), (7, 60), (9, 60), (11, 70)], [(1, 70), (2, 69), (3, 71), (5, 72), (6, 71), (7, 68), (9, 69), (11, 69)], [(1, 70), (2, 69), (3, 65), (5, 69), (6, 71), (7, 72), (8, 70), (9, 79), (11, 76), (12, 74)], [(1, 70), (2, 69), (3, 67), (5, 69), (7, 67), (8, 64), (9, 65), (11, 69), (12, 67)]]",<music21.stream.Stream 0x1a3449409a0>
99,"[[1, 2, 3, 5, 9, 11], [1, 3, 5, 9, 11, 12], [1, 2, 3, 4, 5, 9, 11, 12], [1, 2, 3, 5, 7, 9, 11, 12], [1, 2, 3, 5, 7, 9], [1, 2, 3, 5, 7, 9, 10, 11], [1, 2, 3, 5, 7, 8, 9, 10, 11, 12], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12]]","[[80, 78, 79, 79, 78, 74], [80, 79, 77, 65, 64, 62], [80, 78, 74, 73, 73, 74, 73, 76], [80, 83, 81, 81, 80, 80, 81, 79], [80, 78, 76, 69, 73, 73], [80, 83, 84, 72, 70, 72, 71, 69], [80, 78, 76, 75, 74, 70, 69, 70, 69, 67], [80, 78, 76, 73, 74, 69, 65, 69, 73, 74]]","[[(1, 80), (2, 78), (3, 79), (5, 79), (9, 78), (11, 74)], [(1, 80), (3, 79), (5, 77), (9, 65), (11, 64), (12, 62)], [(1, 80), (2, 78), (3, 74), (4, 73), (5, 73), (9, 74), (11, 73), (12, 76)], [(1, 80), (2, 83), (3, 81), (5, 81), (7, 80), (9, 80), (11, 81), (12, 79)], [(1, 80), (2, 78), (3, 76), (5, 69), (7, 73), (9, 73)], [(1, 80), (2, 83), (3, 84), (5, 72), (7, 70), (9, 72), (10, 71), (11, 69)], [(1, 80), (2, 78), (3, 76), (5, 75), (7, 74), (8, 70), (9, 69), (10, 70), (11, 69), (12, 67)], [(1, 80), (2, 78), (3, 76), (4, 73), (5, 74), (7, 69), (8, 65), (9, 69), (11, 73), (12, 74)]]",<music21.stream.Stream 0x1a3449f3820>
100,"[[1, 3, 5, 7, 8, 9, 10, 11], [1, 3, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 6, 7, 8, 9, 11, 12]]","[[78, 78, 76, 76, 72, 74, 73, 71], [78, 71, 72, 70, 72, 69, 67], [78, 76, 78, 74, 74, 71, 69, 67], [78, 76, 76, 79, 78, 69], [78, 81, 79, 81, 78, 80, 81, 73], [78, 78, 81, 82, 79, 76], [78, 74, 73, 74, 69, 73, 74], [78, 81, 78, 76, 74, 73, 69, 67, 63, 60]]","[[(1, 78), (3, 78), (5, 76), (7, 76), (8, 72), (9, 74), (10, 73), (11, 71)], [(1, 78), (3, 71), (5, 72), (7, 70), (8, 72), (9, 69), (11, 67)], [(1, 78), (3, 76), (4, 78), (5, 74), (7, 74), (8, 71), (9, 69), (11, 67)], [(1, 78), (3, 76), (5, 76), (7, 79), (8, 78), (9, 69)], [(1, 78), (3, 81), (4, 79), (5, 81), (7, 78), (8, 80), (9, 81), (11, 73)], [(1, 78), (3, 78), (4, 81), (5, 82), (8, 79), (9, 76)], [(1, 78), (3, 74), (4, 73), (5, 74), (7, 69), (8, 73), (9, 74)], [(1, 78), (3, 81), (4, 78), (5, 76), (6, 74), (7, 73), (8, 69), (9, 67), (11, 63), (12, 60)]]",<music21.stream.Stream 0x1a344643850>
101,"[[1, 3, 4, 5, 7, 9, 10, 11], [1, 3, 4, 5, 7, 9, 11, 12], [1, 3, 4, 5, 7, 9, 10, 11], [1, 3, 4, 5, 6, 7, 9, 10], [1, 3, 4, 5, 6, 7, 9, 11], [1, 3, 4, 5, 6, 7, 9, 11, 12], [1, 2, 3, 4, 5, 7, 9, 11, 12], [1, 3, 4, 5, 7, 9, 11, 12]]","[[77, 76, 73, 72, 72, 76, 79, 78], [77, 74, 79, 78, 76, 76, 72, 70], [77, 74, 73, 71, 80, 76, 74, 78], [77, 77, 79, 78, 79, 77, 76, 74], [77, 76, 79, 76, 74, 78, 76, 72], [77, 77, 79, 81, 79, 77, 77, 74, 78], [77, 76, 77, 81, 79, 76, 77, 76, 74], [77, 76, 74, 74, 74, 78, 76, 73]]","[[(1, 77), (3, 76), (4, 73), (5, 72), (7, 72), (9, 76), (10, 79), (11, 78)], [(1, 77), (3, 74), (4, 79), (5, 78), (7, 76), (9, 76), (11, 72), (12, 70)], [(1, 77), (3, 74), (4, 73), (5, 71), (7, 80), (9, 76), (10, 74), (11, 78)], [(1, 77), (3, 77), (4, 79), (5, 78), (6, 79), (7, 77), (9, 76), (10, 74)], [(1, 77), (3, 76), (4, 79), (5, 76), (6, 74), (7, 78), (9, 76), (11, 72)], [(1, 77), (3, 77), (4, 79), (5, 81), (6, 79), (7, 77), (9, 77), (11, 74), (12, 78)], [(1, 77), (2, 76), (3, 77), (4, 81), (5, 79), (7, 76), (9, 77), (11, 76), (12, 74)], [(1, 77), (3, 76), (4, 74), (5, 74), (7, 74), (9, 78), (11, 76), (12, 73)]]",<music21.stream.Stream 0x1a344a73d60>
102,"[[1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 9], [1, 3, 5, 7, 9], [1, 2, 3, 4, 5, 7, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 6, 7, 8, 9]]","[[72, 76, 73, 74, 74, 72], [72, 74, 72, 69, 72, 72], [72, 76, 77, 74, 74], [72, 71, 74, 78, 83, 80, 76], [72, 71, 69, 67, 66, 67, 66, 64, 62], [72, 72, 69, 72, 65, 71, 69, 72], [72, 72, 70, 70, 74, 71, 72], [72, 71, 73, 69, 71, 69, 67, 69]]","[[(1, 72), (3, 76), (4, 73), (5, 74), (7, 74), (9, 72)], [(1, 72), (3, 74), (4, 72), (5, 69), (7, 72), (9, 72)], [(1, 72), (3, 76), (5, 77), (7, 74), (9, 74)], [(1, 72), (2, 71), (3, 74), (4, 78), (5, 83), (7, 80), (9, 76)], [(1, 72), (2, 71), (3, 69), (4, 67), (5, 66), (6, 67), (7, 66), (8, 64), (9, 62)], [(1, 72), (3, 72), (4, 69), (5, 72), (6, 65), (7, 71), (8, 69), (9, 72)], [(1, 72), (3, 72), (4, 70), (5, 70), (7, 74), (8, 71), (9, 72)], [(1, 72), (3, 71), (4, 73), (5, 69), (6, 71), (7, 69), (8, 67), (9, 69)]]",<music21.stream.Stream 0x1a3449ba460>
103,"[[1, 3, 4, 5, 6, 7, 9, 11, 12], [1, 2, 3, 5, 6, 7, 9, 11, 12], [1, 2, 3, 5, 7, 9, 10, 11, 12], [1, 3, 4, 5, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 7, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9, 10]]","[[67, 69, 72, 72, 71, 73, 74, 78, 79], [67, 65, 69, 69, 64, 66, 66, 64, 62], [67, 72, 71, 74, 73, 69, 68, 64, 62], [67, 71, 55, 71, 80, 76, 74, 72, 74, 72], [67, 62, 58, 60, 60, 60, 60, 57], [67, 79, 77, 72, 77, 79, 81, 72], [67, 76, 73, 69, 74, 73], [67, 79, 81, 79, 83, 79, 76, 74]]","[[(1, 67), (3, 69), (4, 72), (5, 72), (6, 71), (7, 73), (9, 74), (11, 78), (12, 79)], [(1, 67), (2, 65), (3, 69), (5, 69), (6, 64), (7, 66), (9, 66), (11, 64), (12, 62)], [(1, 67), (2, 72), (3, 71), (5, 74), (7, 73), (9, 69), (10, 68), (11, 64), (12, 62)], [(1, 67), (3, 71), (4, 55), (5, 71), (7, 80), (8, 76), (9, 74), (10, 72), (11, 74), (12, 72)], [(1, 67), (3, 62), (4, 58), (5, 60), (7, 60), (9, 60), (11, 60), (12, 57)], [(1, 67), (3, 79), (4, 77), (5, 72), (7, 77), (8, 79), (9, 81), (11, 72)], [(1, 67), (3, 76), (4, 73), (5, 69), (7, 74), (9, 73)], [(1, 67), (3, 79), (4, 81), (5, 79), (7, 83), (8, 79), (9, 76), (10, 74)]]",<music21.stream.Stream 0x1a344af8c10>
104,"[[1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 6, 7, 8, 9, 12], [1, 4, 5, 6, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 5, 8, 9, 11, 12], [1, 5, 7, 8, 9, 11, 12], [1, 2, 3, 5, 7, 8, 9, 11, 12]]","[[74, 77, 76, 71, 80, 81, 81, 78, 74], [74, 73, 74, 69, 74, 70, 72, 70, 67, 67], [74, 76, 72, 75, 74, 76, 72, 74, 77], [74, 73, 74, 76, 77, 76, 74, 78, 69], [74, 74, 72, 74, 73, 71, 72, 69, 71], [74, 74, 74, 76, 74, 77, 79], [74, 62, 64, 67, 69, 78, 76], [74, 71, 74, 78, 76, 79, 77, 76, 72]]","[[(1, 74), (3, 77), (4, 76), (5, 71), (7, 80), (8, 81), (9, 81), (11, 78), (12, 74)], [(1, 74), (3, 73), (4, 74), (5, 69), (7, 74), (8, 70), (9, 72), (10, 70), (11, 67), (12, 67)], [(1, 74), (3, 76), (4, 72), (5, 75), (6, 74), (7, 76), (8, 72), (9, 74), (12, 77)], [(1, 74), (4, 73), (5, 74), (6, 76), (7, 77), (8, 76), (9, 74), (11, 78), (12, 69)], [(1, 74), (3, 74), (4, 72), (5, 74), (7, 73), (8, 71), (9, 72), (11, 69), (12, 71)], [(1, 74), (3, 74), (5, 74), (8, 76), (9, 74), (11, 77), (12, 79)], [(1, 74), (5, 62), (7, 64), (8, 67), (9, 69), (11, 78), (12, 76)], [(1, 74), (2, 71), (3, 74), (5, 78), (7, 76), (8, 79), (9, 77), (11, 76), (12, 72)]]",<music21.stream.Stream 0x1a344b5c520>
105,"[[1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 6, 7, 9], [1, 3, 4, 5, 7, 9], [1, 2, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9], [1, 4, 5, 7, 8, 9]]","[[67, 71, 72, 76, 76, 74, 76], [67, 67, 69, 67, 69, 65, 70], [67, 71, 73, 69, 72, 71], [67, 65, 69, 73, 64, 65, 70], [67, 69, 68, 69, 74, 76], [67, 67, 69, 71, 71, 69], [67, 67, 66, 67, 69, 66, 64], [67, 70, 74, 74, 73, 69]]","[[(1, 67), (3, 71), (4, 72), (5, 76), (7, 76), (8, 74), (9, 76)], [(1, 67), (3, 67), (4, 69), (5, 67), (6, 69), (7, 65), (9, 70)], [(1, 67), (3, 71), (4, 73), (5, 69), (7, 72), (9, 71)], [(1, 67), (2, 65), (3, 69), (4, 73), (5, 64), (7, 65), (9, 70)], [(1, 67), (3, 69), (4, 68), (5, 69), (7, 74), (9, 76)], [(1, 67), (3, 67), (4, 69), (5, 71), (7, 71), (9, 69)], [(1, 67), (3, 67), (4, 66), (5, 67), (7, 69), (8, 66), (9, 64)], [(1, 67), (4, 70), (5, 74), (7, 74), (8, 73), (9, 69)]]",<music21.stream.Stream 0x1a344a59490>
106,"[[1, 3, 4, 5, 6, 7, 9, 11, 12], [1, 3, 4, 5, 9, 11, 12], [1, 3, 4, 5, 6, 7, 9, 11, 12], [1, 3, 4, 5, 6, 7, 9], [1, 3, 4, 5, 6, 7, 9], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 9]]","[[67, 71, 68, 69, 71, 69, 69, 72, 76], [67, 67, 70, 67, 66, 64, 57], [67, 67, 71, 69, 66, 69, 69, 69, 71], [67, 62, 58, 55, 59, 62, 64], [67, 66, 69, 72, 69, 72, 59], [67, 71, 69, 71, 74, 71], [67, 76, 74, 76, 74, 74], [67, 69, 66, 67, 67]]","[[(1, 67), (3, 71), (4, 68), (5, 69), (6, 71), (7, 69), (9, 69), (11, 72), (12, 76)], [(1, 67), (3, 67), (4, 70), (5, 67), (9, 66), (11, 64), (12, 57)], [(1, 67), (3, 67), (4, 71), (5, 69), (6, 66), (7, 69), (9, 69), (11, 69), (12, 71)], [(1, 67), (3, 62), (4, 58), (5, 55), (6, 59), (7, 62), (9, 64)], [(1, 67), (3, 66), (4, 69), (5, 72), (6, 69), (7, 72), (9, 59)], [(1, 67), (3, 71), (4, 69), (5, 71), (7, 74), (9, 71)], [(1, 67), (3, 76), (4, 74), (5, 76), (7, 74), (9, 74)], [(1, 67), (3, 69), (4, 66), (5, 67), (9, 67)]]",<music21.stream.Stream 0x1a344bb94c0>
107,"[[1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 8, 9], [1, 3, 4, 5, 9], [1, 2, 3, 4, 5, 9], [1, 3, 4, 5, 9], [1, 3, 5, 9], [1, 3, 5, 9, 11], [1, 3, 5, 9]]","[[74, 72, 76, 78, 79, 81, 69, 67], [74, 72, 76, 77, 72, 71], [74, 74, 73, 74, 62], [74, 70, 67, 66, 67, 55], [74, 71, 72, 71, 74], [74, 73, 64, 60], [74, 77, 76, 74, 72], [74, 74, 74, 74]]","[[(1, 74), (3, 72), (4, 76), (5, 78), (7, 79), (8, 81), (9, 69), (11, 67)], [(1, 74), (3, 72), (4, 76), (5, 77), (8, 72), (9, 71)], [(1, 74), (3, 74), (4, 73), (5, 74), (9, 62)], [(1, 74), (2, 70), (3, 67), (4, 66), (5, 67), (9, 55)], [(1, 74), (3, 71), (4, 72), (5, 71), (9, 74)], [(1, 74), (3, 73), (5, 64), (9, 60)], [(1, 74), (3, 77), (5, 76), (9, 74), (11, 72)], [(1, 74), (3, 74), (5, 74), (9, 74)]]",<music21.stream.Stream 0x1a344890b80>
108,"[[1, 3, 4, 5, 6, 7, 8, 9], [1, 2, 3, 5, 6, 7, 8, 9], [1, 2, 3, 5, 6, 7, 8, 9, 10], [1, 3, 5, 6, 7, 8, 9, 10], [1, 3, 5, 7, 8, 9, 10, 11], [1, 3, 4, 5, 7, 8, 9, 10], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 11, 12]]","[[74, 69, 68, 69, 71, 76, 72, 72], [74, 70, 79, 79, 81, 79, 78, 81], [74, 73, 71, 76, 74, 76, 77, 79, 77], [74, 74, 76, 74, 78, 74, 74, 73], [74, 69, 69, 74, 73, 75, 74, 78], [74, 72, 76, 74, 78, 76, 76, 77], [74, 76, 73, 74, 72, 74, 74], [74, 77, 74, 76, 77, 75, 79, 81, 78]]","[[(1, 74), (3, 69), (4, 68), (5, 69), (6, 71), (7, 76), (8, 72), (9, 72)], [(1, 74), (2, 70), (3, 79), (5, 79), (6, 81), (7, 79), (8, 78), (9, 81)], [(1, 74), (2, 73), (3, 71), (5, 76), (6, 74), (7, 76), (8, 77), (9, 79), (10, 77)], [(1, 74), (3, 74), (5, 76), (6, 74), (7, 78), (8, 74), (9, 74), (10, 73)], [(1, 74), (3, 69), (5, 69), (7, 74), (8, 73), (9, 75), (10, 74), (11, 78)], [(1, 74), (3, 72), (4, 76), (5, 74), (7, 78), (8, 76), (9, 76), (10, 77)], [(1, 74), (3, 76), (4, 73), (5, 74), (7, 72), (8, 74), (9, 74)], [(1, 74), (3, 77), (4, 74), (5, 76), (7, 77), (8, 75), (9, 79), (11, 81), (12, 78)]]",<music21.stream.Stream 0x1a344ae7760>
109,"[[1, 5, 7, 9, 11], [1, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 7, 9, 11], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 10], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9]]","[[77, 65, 64, 62, 77], [77, 79, 81, 82, 81, 79], [77, 76, 78, 79, 78, 74, 72, 71], [77, 76, 74, 72, 71, 72], [77, 75, 79, 78, 74, 71, 72, 70], [77, 76, 78, 79, 76, 73, 69, 72], [77, 77, 76, 77, 76, 74, 76], [77, 76, 74, 77, 75, 74, 74]]","[[(1, 77), (5, 65), (7, 64), (9, 62), (11, 77)], [(1, 77), (4, 79), (5, 81), (7, 82), (9, 81), (11, 79)], [(1, 77), (2, 76), (3, 78), (4, 79), (5, 78), (7, 74), (9, 72), (11, 71)], [(1, 77), (3, 76), (4, 74), (5, 72), (7, 71), (9, 72)], [(1, 77), (3, 75), (4, 79), (5, 78), (6, 74), (7, 71), (8, 72), (9, 70)], [(1, 77), (3, 76), (4, 78), (5, 79), (7, 76), (8, 73), (9, 69), (10, 72)], [(1, 77), (3, 77), (4, 76), (5, 77), (7, 76), (8, 74), (9, 76)], [(1, 77), (3, 76), (4, 74), (5, 77), (7, 75), (8, 74), (9, 74)]]",<music21.stream.Stream 0x1a344c5fb80>
110,"[[1, 3, 4, 5, 9, 10, 11], [1, 2, 3, 4, 5, 9, 10, 11, 12], [1, 2, 3, 4, 5, 9, 11], [1, 2, 3, 4, 5, 7, 9, 11], [1, 3, 4, 5, 7, 9], [1, 3, 5, 7, 9], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 6, 7, 8, 9]]","[[67, 71, 72, 72, 60, 59, 57], [67, 71, 72, 69, 67, 67, 66, 69, 67], [67, 66, 69, 67, 72, 74, 74], [67, 66, 69, 72, 71, 69, 65, 62], [67, 69, 72, 69, 67, 67], [67, 70, 74, 76, 77], [67, 74, 76, 74, 69, 65], [67, 71, 74, 76, 78, 79, 78, 79]]","[[(1, 67), (3, 71), (4, 72), (5, 72), (9, 60), (10, 59), (11, 57)], [(1, 67), (2, 71), (3, 72), (4, 69), (5, 67), (9, 67), (10, 66), (11, 69), (12, 67)], [(1, 67), (2, 66), (3, 69), (4, 67), (5, 72), (9, 74), (11, 74)], [(1, 67), (2, 66), (3, 69), (4, 72), (5, 71), (7, 69), (9, 65), (11, 62)], [(1, 67), (3, 69), (4, 72), (5, 69), (7, 67), (9, 67)], [(1, 67), (3, 70), (5, 74), (7, 76), (9, 77)], [(1, 67), (3, 74), (4, 76), (5, 74), (7, 69), (9, 65)], [(1, 67), (3, 71), (4, 74), (5, 76), (6, 78), (7, 79), (8, 78), (9, 79)]]",<music21.stream.Stream 0x1a3449d4bb0>
111,"[[1, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 8, 9], [1, 3, 5, 7, 8, 9, 10, 11], [1, 3, 5, 7, 8, 9, 10, 11, 12], [1, 3, 5, 7, 9, 11, 12], [1, 2, 3, 5, 6, 7, 9, 11, 12]]","[[64, 69, 70, 69, 71, 72, 74], [64, 76, 73, 74, 76, 74, 76], [64, 67, 69, 66, 67, 62, 64, 64], [64, 66, 64, 73, 74, 76], [64, 71, 69, 69, 65, 62, 66, 64], [64, 76, 76, 74, 71, 72, 71, 69, 67], [64, 64, 64, 73, 71, 74, 70], [64, 62, 64, 65, 63, 62, 62, 58, 57]]","[[(1, 64), (4, 69), (5, 70), (6, 69), (7, 71), (8, 72), (9, 74)], [(1, 64), (3, 76), (4, 73), (5, 74), (7, 76), (8, 74), (9, 76)], [(1, 64), (2, 67), (3, 69), (4, 66), (5, 67), (7, 62), (8, 64), (9, 64)], [(1, 64), (3, 66), (5, 64), (7, 73), (8, 74), (9, 76)], [(1, 64), (3, 71), (5, 69), (7, 69), (8, 65), (9, 62), (10, 66), (11, 64)], [(1, 64), (3, 76), (5, 76), (7, 74), (8, 71), (9, 72), (10, 71), (11, 69), (12, 67)], [(1, 64), (3, 64), (5, 64), (7, 73), (9, 71), (11, 74), (12, 70)], [(1, 64), (2, 62), (3, 64), (5, 65), (6, 63), (7, 62), (9, 62), (11, 58), (12, 57)]]",<music21.stream.Stream 0x1a344c944f0>
112,"[[1, 3, 4, 5, 7, 9, 11], [1, 2, 3, 4, 5, 7, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9, 10], [1, 2, 3, 4, 5, 7, 8, 9]]","[[76, 76, 78, 81, 77, 74, 62], [76, 79, 77, 76, 74, 74, 74], [76, 73, 74, 70, 63, 65, 67, 65, 64], [76, 76, 79, 81, 79, 78, 79], [76, 72, 74, 76, 73, 73], [76, 76, 77, 76, 74, 58], [76, 74, 77, 75, 79, 76, 77, 79], [76, 79, 83, 79, 81, 79, 81, 72]]","[[(1, 76), (3, 76), (4, 78), (5, 81), (7, 77), (9, 74), (11, 62)], [(1, 76), (2, 79), (3, 77), (4, 76), (5, 74), (7, 74), (9, 74)], [(1, 76), (2, 73), (3, 74), (4, 70), (5, 63), (6, 65), (7, 67), (8, 65), (9, 64)], [(1, 76), (3, 76), (4, 79), (5, 81), (7, 79), (8, 78), (9, 79)], [(1, 76), (3, 72), (4, 74), (5, 76), (7, 73), (9, 73)], [(1, 76), (3, 76), (4, 77), (5, 76), (7, 74), (9, 58)], [(1, 76), (3, 74), (4, 77), (5, 75), (7, 79), (8, 76), (9, 77), (10, 79)], [(1, 76), (2, 79), (3, 83), (4, 79), (5, 81), (7, 79), (8, 81), (9, 72)]]",<music21.stream.Stream 0x1a344c82dc0>
113,"[[1, 3, 5, 7, 9], [1, 3, 5, 7, 9, 11], [1, 3, 5, 7, 8, 9, 11], [1, 2, 3, 5, 6, 7, 8, 9, 11], [1, 2, 3, 5, 6, 7, 9, 10, 11], [1, 2, 3, 5, 7, 9, 11], [1, 3, 4, 5, 7, 9, 11], [1, 3, 4, 5, 7, 9, 11, 12]]","[[64, 72, 71, 76, 74], [64, 83, 71, 70, 67, 70], [64, 67, 71, 69, 71, 69, 69], [64, 74, 73, 69, 64, 61, 59, 55, 71], [64, 67, 69, 71, 72, 71, 73, 71, 76], [64, 62, 61, 64, 64, 65, 81], [64, 64, 67, 69, 65, 64, 64], [64, 68, 67, 67, 67, 57, 73, 71]]","[[(1, 64), (3, 72), (5, 71), (7, 76), (9, 74)], [(1, 64), (3, 83), (5, 71), (7, 70), (9, 67), (11, 70)], [(1, 64), (3, 67), (5, 71), (7, 69), (8, 71), (9, 69), (11, 69)], [(1, 64), (2, 74), (3, 73), (5, 69), (6, 64), (7, 61), (8, 59), (9, 55), (11, 71)], [(1, 64), (2, 67), (3, 69), (5, 71), (6, 72), (7, 71), (9, 73), (10, 71), (11, 76)], [(1, 64), (2, 62), (3, 61), (5, 64), (7, 64), (9, 65), (11, 81)], [(1, 64), (3, 64), (4, 67), (5, 69), (7, 65), (9, 64), (11, 64)], [(1, 64), (3, 68), (4, 67), (5, 67), (7, 67), (9, 57), (11, 73), (12, 71)]]",<music21.stream.Stream 0x1a344d30460>
