,0,1,2,3,4,5,6,7
10,"[(2, 35.0), (3, 33.0), (5, 45.0), (6, 39.0), (8, 28.0), (10, 33.0), (11, 35.0), (12, 38.0)]","[(1, 36.0), (6, 38.0), (7, 43.0), (9, 35.0), (10, 35.0), (11, 40.0)]","[(5, 55.0), (8, 57.0)]","[(4, 55.0), (5, 54.0), (6, 61.0), (8, 56.0), (12, 57.0)]","[(1, 52.0), (2, 55.0), (4, 62.0), (5, 62.0)]","[(1, 62.0), (6, 56.0), (7, 53.0), (10, 61.0)]","[(2, 54.0), (4, 58.0), (8, 55.0), (9, 45.0)]","[(2, 58.0), (4, 49.0), (5, 51.0), (11, 46.0)]"
11,"[(2, 63.0), (3, 57.0), (5, 65.0), (6, 62.0), (8, 59.0), (10, 61.0), (11, 63.0), (12, 64.0)]","[(1, 60.0), (6, 63.0), (7, 62.0), (9, 58.0), (10, 65.0), (11, 65.0)]","[(5, 57.0), (8, 57.0)]","[(4, 58.0), (5, 58.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 59.0), (4, 65.0), (5, 61.0)]","[(1, 63.0), (6, 55.0), (7, 59.0), (10, 62.0)]","[(2, 56.0), (4, 58.0), (8, 57.0), (9, 46.0)]","[(2, 59.0), (4, 50.0), (5, 52.0), (11, 48.0)]"
12,"[(2, 54.0), (3, 51.0), (5, 60.0), (6, 54.0), (8, 51.0), (10, 52.0), (11, 57.0), (12, 56.0)]","[(1, 54.0), (6, 56.0), (7, 56.0), (9, 51.0), (10, 57.0), (11, 57.0)]","[(5, 57.0), (8, 58.0)]","[(4, 58.0), (5, 57.0), (6, 63.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 65.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 58.0), (10, 62.0)]","[(2, 56.0), (4, 58.0), (8, 57.0), (9, 45.0)]","[(2, 59.0), (4, 50.0), (5, 53.0), (11, 48.0)]"
13,"[(2, 63.0), (3, 59.0), (5, 66.0), (6, 60.0), (8, 61.0), (10, 65.0), (11, 66.0), (12, 63.0)]","[(1, 64.0), (6, 63.0), (7, 65.0), (9, 60.0), (10, 66.0), (11, 68.0)]","[(5, 58.0), (8, 57.0)]","[(4, 58.0), (5, 58.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 54.0), (2, 59.0), (4, 64.0), (5, 62.0)]","[(1, 64.0), (6, 56.0), (7, 58.0), (10, 62.0)]","[(2, 58.0), (4, 60.0), (8, 58.0), (9, 49.0)]","[(2, 60.0), (4, 53.0), (5, 53.0), (11, 49.0)]"
14,"[(2, 67.0), (3, 63.0), (5, 70.0), (6, 70.0), (8, 70.0), (10, 69.0), (11, 72.0), (12, 69.0)]","[(1, 66.0), (6, 69.0), (7, 67.0), (9, 66.0), (10, 73.0), (11, 70.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 56.0), (6, 61.0), (8, 56.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 63.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 58.0), (10, 60.0)]","[(2, 56.0), (4, 60.0), (8, 56.0), (9, 47.0)]","[(2, 60.0), (4, 51.0), (5, 51.0), (11, 47.0)]"
15,"[(2, 53.0), (3, 51.0), (5, 61.0), (6, 55.0), (8, 53.0), (10, 57.0), (11, 58.0), (12, 55.0)]","[(1, 57.0), (6, 58.0), (7, 59.0), (9, 50.0), (10, 62.0), (11, 59.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 56.0), (6, 62.0), (8, 56.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 63.0), (5, 62.0)]","[(1, 62.0), (6, 56.0), (7, 57.0), (10, 61.0)]","[(2, 56.0), (4, 59.0), (8, 56.0), (9, 47.0)]","[(2, 59.0), (4, 51.0), (5, 51.0), (11, 47.0)]"
16,"[(2, 43.0), (3, 39.0), (5, 51.0), (6, 43.0), (8, 41.0), (10, 45.0), (11, 47.0), (12, 44.0)]","[(1, 48.0), (6, 46.0), (7, 49.0), (9, 39.0), (10, 49.0), (11, 49.0)]","[(5, 57.0), (8, 58.0)]","[(4, 56.0), (5, 56.0), (6, 61.0), (8, 57.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 63.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 55.0), (10, 61.0)]","[(2, 58.0), (4, 61.0), (8, 58.0), (9, 49.0)]","[(2, 61.0), (4, 52.0), (5, 54.0), (11, 50.0)]"
17,"[(2, 36.0), (3, 33.0), (5, 43.0), (6, 38.0), (8, 34.0), (10, 35.0), (11, 38.0), (12, 37.0)]","[(1, 39.0), (6, 40.0), (7, 43.0), (9, 35.0), (10, 37.0), (11, 43.0)]","[(5, 54.0), (8, 57.0)]","[(4, 53.0), (5, 52.0), (6, 59.0), (8, 54.0), (12, 56.0)]","[(1, 51.0), (2, 53.0), (4, 61.0), (5, 61.0)]","[(1, 60.0), (6, 55.0), (7, 51.0), (10, 59.0)]","[(2, 58.0), (4, 60.0), (8, 59.0), (9, 46.0)]","[(2, 61.0), (4, 51.0), (5, 56.0), (11, 52.0)]"
18,"[(2, 62.0), (3, 57.0), (5, 68.0), (6, 61.0), (8, 64.0), (10, 63.0), (11, 66.0), (12, 62.0)]","[(1, 63.0), (6, 62.0), (7, 63.0), (9, 59.0), (10, 69.0), (11, 66.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 55.0), (7, 58.0), (10, 61.0)]","[(2, 55.0), (4, 58.0), (8, 56.0), (9, 45.0)]","[(2, 58.0), (4, 50.0), (5, 51.0), (11, 46.0)]"
19,"[(2, 32.0), (3, 29.0), (5, 41.0), (6, 35.0), (8, 24.0), (10, 31.0), (11, 29.0), (12, 33.0)]","[(1, 33.0), (6, 36.0), (7, 42.0), (9, 30.0), (10, 33.0), (11, 37.0)]","[(5, 54.0), (8, 57.0)]","[(4, 53.0), (5, 52.0), (6, 60.0), (8, 55.0), (12, 56.0)]","[(1, 51.0), (2, 52.0), (4, 61.0), (5, 62.0)]","[(1, 60.0), (6, 55.0), (7, 51.0), (10, 59.0)]","[(2, 57.0), (4, 61.0), (8, 59.0), (9, 48.0)]","[(2, 60.0), (4, 52.0), (5, 54.0), (11, 49.0)]"
20,"[(2, 70.0), (3, 70.0), (5, 69.0), (6, 71.0), (8, 70.0), (10, 72.0), (11, 74.0), (12, 71.0)]","[(1, 72.0), (6, 73.0), (7, 71.0), (9, 69.0), (10, 75.0), (11, 71.0)]","[(5, 58.0), (8, 57.0)]","[(4, 58.0), (5, 58.0), (6, 63.0), (8, 57.0), (12, 61.0)]","[(1, 55.0), (2, 60.0), (4, 65.0), (5, 61.0)]","[(1, 64.0), (6, 56.0), (7, 60.0), (10, 62.0)]","[(2, 58.0), (4, 61.0), (8, 59.0), (9, 49.0)]","[(2, 61.0), (4, 53.0), (5, 54.0), (11, 50.0)]"
21,"[(2, 46.0), (3, 44.0), (5, 56.0), (6, 51.0), (8, 44.0), (10, 47.0), (11, 48.0), (12, 50.0)]","[(1, 48.0), (6, 51.0), (7, 52.0), (9, 43.0), (10, 51.0), (11, 52.0)]","[(5, 56.0), (8, 57.0)]","[(4, 56.0), (5, 55.0), (6, 61.0), (8, 56.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 64.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 56.0), (10, 61.0)]","[(2, 55.0), (4, 58.0), (8, 56.0), (9, 43.0)]","[(2, 58.0), (4, 49.0), (5, 53.0), (11, 47.0)]"
22,"[(2, 64.0), (3, 66.0), (5, 67.0), (6, 69.0), (8, 63.0), (10, 63.0), (11, 65.0), (12, 69.0)]","[(1, 65.0), (6, 68.0), (7, 64.0), (9, 67.0), (10, 71.0), (11, 63.0)]","[(5, 57.0), (8, 57.0)]","[(4, 58.0), (5, 57.0), (6, 62.0), (8, 56.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 56.0), (7, 59.0), (10, 61.0)]","[(2, 53.0), (4, 56.0), (8, 54.0), (9, 42.0)]","[(2, 56.0), (4, 47.0), (5, 49.0), (11, 43.0)]"
23,"[(2, 12.0), (3, 9.0), (5, 30.0), (6, 14.0), (8, 9.0), (10, 12.0), (11, 16.0), (12, 13.0)]","[(1, 21.0), (6, 19.0), (7, 26.0), (10, 14.0), (11, 25.0)]","[(5, 55.0), (8, 57.0)]","[(4, 54.0), (5, 53.0), (6, 60.0), (8, 57.0), (12, 58.0)]","[(1, 52.0), (2, 54.0), (4, 62.0), (5, 61.0)]","[(1, 61.0), (6, 55.0), (7, 51.0), (10, 61.0)]","[(2, 56.0), (4, 59.0), (8, 58.0), (9, 45.0)]","[(2, 60.0), (4, 50.0), (5, 54.0), (11, 50.0)]"
24,"[(2, 75.0), (3, 75.0), (5, 75.0), (6, 79.0), (8, 76.0), (10, 79.0), (11, 79.0), (12, 77.0)]","[(1, 77.0), (6, 81.0), (7, 76.0), (9, 77.0), (10, 83.0), (11, 75.0)]","[(5, 57.0), (8, 56.0)]","[(4, 58.0), (5, 57.0), (6, 62.0), (8, 56.0), (12, 60.0)]","[(1, 55.0), (2, 59.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 55.0), (7, 60.0), (10, 61.0)]","[(2, 58.0), (4, 59.0), (8, 57.0), (9, 49.0)]","[(2, 59.0), (4, 52.0), (5, 51.0), (11, 47.0)]"
25,"[(2, 48.0), (3, 54.0), (5, 59.0), (6, 53.0), (8, 46.0), (10, 49.0), (11, 54.0), (12, 54.0)]","[(1, 52.0), (6, 54.0), (7, 55.0), (9, 50.0), (10, 51.0), (11, 55.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 56.0), (6, 61.0), (8, 57.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 63.0), (5, 61.0)]","[(1, 62.0), (6, 56.0), (7, 57.0), (10, 61.0)]","[(2, 55.0), (4, 57.0), (8, 56.0), (9, 45.0)]","[(2, 58.0), (4, 49.0), (5, 51.0), (11, 46.0)]"
26,"[(2, 51.0), (3, 54.0), (5, 62.0), (6, 58.0), (8, 56.0), (10, 54.0), (11, 57.0), (12, 57.0)]","[(1, 54.0), (6, 58.0), (7, 59.0), (9, 56.0), (10, 58.0), (11, 58.0)]","[(5, 57.0), (8, 58.0)]","[(4, 58.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 65.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 58.0), (10, 62.0)]","[(2, 59.0), (4, 62.0), (8, 60.0), (9, 50.0)]","[(2, 63.0), (4, 54.0), (5, 55.0), (11, 52.0)]"
27,"[(2, 30.0), (3, 26.0), (5, 43.0), (6, 33.0), (8, 28.0), (10, 30.0), (11, 34.0), (12, 32.0)]","[(1, 35.0), (6, 34.0), (7, 39.0), (9, 25.0), (10, 34.0), (11, 38.0)]","[(5, 57.0), (8, 58.0)]","[(4, 56.0), (5, 56.0), (6, 62.0), (8, 57.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 64.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 55.0), (10, 62.0)]","[(2, 57.0), (4, 60.0), (8, 58.0), (9, 46.0)]","[(2, 60.0), (4, 51.0), (5, 54.0), (11, 49.0)]"
28,"[(2, 54.0), (3, 55.0), (5, 59.0), (6, 58.0), (8, 52.0), (10, 55.0), (11, 57.0), (12, 58.0)]","[(1, 56.0), (6, 60.0), (7, 59.0), (9, 54.0), (10, 58.0), (11, 58.0)]","[(5, 56.0), (8, 57.0)]","[(4, 57.0), (5, 56.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 54.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 58.0), (10, 61.0)]","[(2, 58.0), (4, 60.0), (8, 59.0), (9, 50.0)]","[(2, 61.0), (4, 52.0), (5, 54.0), (11, 52.0)]"
29,"[(2, 32.0), (3, 28.0), (5, 43.0), (6, 33.0), (8, 25.0), (10, 31.0), (11, 34.0), (12, 33.0)]","[(1, 36.0), (6, 34.0), (7, 40.0), (9, 27.0), (10, 33.0), (11, 40.0)]","[(5, 56.0), (8, 57.0)]","[(4, 55.0), (5, 55.0), (6, 61.0), (8, 57.0), (12, 59.0)]","[(1, 53.0), (2, 56.0), (4, 63.0), (5, 62.0)]","[(1, 62.0), (6, 56.0), (7, 54.0), (10, 62.0)]","[(2, 58.0), (4, 60.0), (8, 59.0), (9, 49.0)]","[(2, 60.0), (4, 52.0), (5, 54.0), (11, 51.0)]"
30,"[(2, 51.0), (3, 46.0), (5, 57.0), (6, 48.0), (8, 51.0), (10, 51.0), (11, 56.0), (12, 50.0)]","[(1, 53.0), (6, 50.0), (7, 53.0), (9, 49.0), (10, 54.0), (11, 58.0)]","[(5, 57.0), (8, 57.0)]","[(4, 56.0), (5, 56.0), (6, 61.0), (8, 56.0), (12, 58.0)]","[(1, 53.0), (2, 57.0), (4, 63.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 56.0), (10, 61.0)]","[(2, 54.0), (4, 57.0), (8, 54.0), (9, 45.0)]","[(2, 58.0), (4, 49.0), (5, 50.0), (11, 45.0)]"
31,"[(2, 50.0), (3, 49.0), (5, 61.0), (6, 53.0), (8, 52.0), (10, 52.0), (11, 57.0), (12, 54.0)]","[(1, 54.0), (6, 55.0), (7, 56.0), (9, 48.0), (10, 57.0), (11, 58.0)]","[(5, 57.0), (8, 58.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 60.0)]","[(1, 54.0), (2, 58.0), (4, 65.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 58.0), (10, 62.0)]","[(2, 56.0), (4, 58.0), (8, 57.0), (9, 46.0)]","[(2, 59.0), (4, 50.0), (5, 53.0), (11, 49.0)]"
32,"[(2, 31.0), (3, 32.0), (5, 42.0), (6, 34.0), (8, 27.0), (10, 29.0), (11, 34.0), (12, 35.0)]","[(1, 35.0), (6, 36.0), (7, 40.0), (9, 31.0), (10, 33.0), (11, 38.0)]","[(5, 56.0), (8, 58.0)]","[(4, 56.0), (5, 56.0), (6, 62.0), (8, 57.0), (12, 59.0)]","[(1, 54.0), (2, 56.0), (4, 64.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 54.0), (10, 62.0)]","[(2, 56.0), (4, 58.0), (8, 58.0), (9, 44.0)]","[(2, 59.0), (4, 50.0), (5, 54.0), (11, 49.0)]"
33,"[(2, 32.0), (3, 19.0), (5, 40.0), (6, 26.0), (8, 27.0), (10, 27.0), (11, 32.0), (12, 27.0)]","[(1, 33.0), (6, 29.0), (7, 36.0), (9, 21.0), (10, 31.0), (11, 41.0)]","[(5, 56.0), (8, 58.0)]","[(4, 55.0), (5, 55.0), (6, 61.0), (8, 57.0), (12, 59.0)]","[(1, 52.0), (2, 56.0), (4, 63.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 53.0), (10, 61.0)]","[(2, 58.0), (4, 61.0), (8, 59.0), (9, 49.0)]","[(2, 61.0), (4, 53.0), (5, 54.0), (11, 51.0)]"
34,"[(2, 56.0), (3, 54.0), (5, 63.0), (6, 60.0), (8, 54.0), (10, 55.0), (11, 57.0), (12, 59.0)]","[(1, 54.0), (6, 60.0), (7, 61.0), (9, 57.0), (10, 60.0), (11, 59.0)]","[(5, 56.0), (8, 57.0)]","[(4, 56.0), (5, 55.0), (6, 61.0), (8, 56.0), (12, 58.0)]","[(1, 53.0), (2, 56.0), (4, 63.0), (5, 61.0)]","[(1, 62.0), (6, 55.0), (7, 56.0), (10, 60.0)]","[(2, 56.0), (4, 60.0), (8, 57.0), (9, 47.0)]","[(2, 60.0), (4, 51.0), (5, 52.0), (11, 47.0)]"
35,"[(2, 20.0), (3, 16.0), (5, 34.0), (6, 23.0), (8, 12.0), (10, 18.0), (11, 20.0), (12, 23.0)]","[(1, 22.0), (6, 24.0), (7, 32.0), (9, 16.0), (10, 20.0), (11, 29.0)]","[(5, 55.0), (8, 57.0)]","[(4, 54.0), (5, 53.0), (6, 60.0), (8, 56.0), (12, 57.0)]","[(1, 52.0), (2, 53.0), (4, 61.0), (5, 62.0)]","[(1, 61.0), (6, 56.0), (7, 51.0), (10, 60.0)]","[(2, 57.0), (4, 59.0), (8, 58.0), (9, 48.0)]","[(2, 59.0), (4, 51.0), (5, 53.0), (11, 50.0)]"
36,"[(2, 48.0), (3, 48.0), (5, 59.0), (6, 52.0), (8, 47.0), (10, 48.0), (11, 51.0), (12, 51.0)]","[(1, 48.0), (6, 52.0), (7, 57.0), (9, 50.0), (10, 52.0), (11, 55.0)]","[(5, 57.0), (8, 58.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 64.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 56.0), (10, 61.0)]","[(2, 58.0), (4, 61.0), (8, 58.0), (9, 49.0)]","[(2, 61.0), (4, 52.0), (5, 54.0), (11, 50.0)]"
37,"[(2, 55.0), (3, 53.0), (5, 61.0), (6, 58.0), (8, 52.0), (10, 54.0), (11, 55.0), (12, 57.0)]","[(1, 55.0), (6, 57.0), (7, 58.0), (9, 55.0), (10, 60.0), (11, 57.0)]","[(5, 55.0), (8, 57.0)]","[(4, 54.0), (5, 54.0), (6, 61.0), (8, 55.0), (12, 57.0)]","[(1, 52.0), (2, 55.0), (4, 62.0), (5, 62.0)]","[(1, 61.0), (6, 55.0), (7, 54.0), (10, 60.0)]","[(2, 57.0), (4, 60.0), (8, 58.0), (9, 46.0)]","[(2, 61.0), (4, 51.0), (5, 55.0), (11, 50.0)]"
38,"[(2, 44.0), (3, 38.0), (5, 49.0), (6, 42.0), (8, 39.0), (10, 39.0), (11, 46.0), (12, 43.0)]","[(1, 42.0), (6, 42.0), (7, 46.0), (9, 42.0), (10, 44.0), (11, 48.0)]","[(5, 56.0), (8, 57.0)]","[(4, 56.0), (5, 56.0), (6, 61.0), (8, 57.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 63.0), (5, 62.0)]","[(1, 62.0), (6, 55.0), (7, 55.0), (10, 61.0)]","[(2, 56.0), (4, 58.0), (8, 57.0), (9, 45.0)]","[(2, 58.0), (4, 50.0), (5, 53.0), (11, 47.0)]"
39,"[(2, 30.0), (3, 28.0), (5, 42.0), (6, 33.0), (8, 27.0), (10, 32.0), (11, 34.0), (12, 30.0)]","[(1, 36.0), (6, 34.0), (7, 43.0), (9, 28.0), (10, 34.0), (11, 39.0)]","[(5, 54.0), (8, 57.0)]","[(4, 53.0), (5, 53.0), (6, 60.0), (8, 55.0), (12, 56.0)]","[(1, 51.0), (2, 52.0), (4, 61.0), (5, 62.0)]","[(1, 60.0), (6, 56.0), (7, 51.0), (10, 59.0)]","[(2, 57.0), (4, 61.0), (8, 59.0), (9, 48.0)]","[(2, 60.0), (4, 52.0), (5, 54.0), (11, 49.0)]"
40,"[(2, 65.0), (3, 60.0), (5, 66.0), (6, 64.0), (8, 60.0), (10, 64.0), (11, 64.0), (12, 66.0)]","[(1, 63.0), (6, 66.0), (7, 64.0), (9, 63.0), (10, 67.0), (11, 65.0)]","[(5, 57.0), (8, 58.0)]","[(4, 58.0), (5, 58.0), (6, 63.0), (8, 57.0), (12, 61.0)]","[(1, 55.0), (2, 59.0), (4, 65.0), (5, 62.0)]","[(1, 64.0), (6, 56.0), (7, 59.0), (10, 62.0)]","[(2, 58.0), (4, 61.0), (8, 59.0), (9, 49.0)]","[(2, 61.0), (4, 53.0), (5, 54.0), (11, 50.0)]"
41,"[(2, 68.0), (3, 64.0), (5, 70.0), (6, 68.0), (8, 68.0), (10, 69.0), (11, 70.0), (12, 68.0)]","[(1, 67.0), (6, 68.0), (7, 68.0), (9, 66.0), (10, 73.0), (11, 70.0)]","[(5, 57.0), (8, 57.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 56.0), (12, 60.0)]","[(1, 55.0), (2, 58.0), (4, 64.0), (5, 61.0)]","[(1, 63.0), (6, 55.0), (7, 59.0), (10, 61.0)]","[(2, 54.0), (4, 57.0), (8, 55.0), (9, 43.0)]","[(2, 58.0), (4, 49.0), (5, 52.0), (11, 45.0)]"
42,"[(2, 44.0), (3, 48.0), (5, 57.0), (6, 46.0), (8, 43.0), (10, 46.0), (11, 52.0), (12, 49.0)]","[(1, 52.0), (6, 49.0), (7, 51.0), (9, 44.0), (10, 50.0), (11, 54.0)]","[(5, 57.0), (8, 58.0)]","[(4, 57.0), (5, 57.0), (6, 62.0), (8, 57.0), (12, 59.0)]","[(1, 54.0), (2, 57.0), (4, 64.0), (5, 62.0)]","[(1, 63.0), (6, 56.0), (7, 57.0), (10, 61.0)]","[(2, 54.0), (4, 57.0), (8, 55.0), (9, 43.0)]","[(2, 57.0), (4, 47.0), (5, 51.0), (11, 45.0)]"
