Unnamed: 0,beat,pitch,beat_pitch,midi
44,"[[1, 3, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 9, 11, 12], [1, 2, 3, 4, 5, 6, 7, 9, 11, 12], [1, 3, 4, 5, 7, 9, 11, 12], [1, 3, 5, 7, 8, 9, 11, 12], [1, 2, 3, 5, 6, 7, 8, 9, 11, 12]]","[[78, 81, 79, 79, 77, 76, 78, 74], [78, 79, 83, 79, 76, 78, 79, 77], [78, 79, 82, 79, 77, 65, 69, 69, 69, 71], [78, 81, 80, 81, 79, 72, 74, 78], [78, 76, 77, 74, 71, 67, 66, 66, 67, 64], [78, 78, 74, 76, 79, 79, 77, 81], [78, 77, 76, 79, 77, 79, 71, 69], [78, 76, 74, 78, 79, 76, 77, 79, 81, 83]]","[[(1, 78), (3, 81), (5, 79), (7, 79), (8, 77), (9, 76), (11, 78), (12, 74)], [(1, 78), (3, 79), (4, 83), (5, 79), (7, 76), (8, 78), (9, 79), (11, 77)], [(1, 78), (2, 79), (3, 82), (4, 79), (5, 77), (7, 65), (8, 69), (9, 69), (11, 69), (12, 71)], [(1, 78), (2, 81), (3, 80), (4, 81), (5, 79), (9, 72), (11, 74), (12, 78)], [(1, 78), (2, 76), (3, 77), (4, 74), (5, 71), (6, 67), (7, 66), (9, 66), (11, 67), (12, 64)], [(1, 78), (3, 78), (4, 74), (5, 76), (7, 79), (9, 79), (11, 77), (12, 81)], [(1, 78), (3, 77), (5, 76), (7, 79), (8, 77), (9, 79), (11, 71), (12, 69)], [(1, 78), (2, 76), (3, 74), (5, 78), (6, 79), (7, 76), (8, 77), (9, 79), (11, 81), (12, 83)]]",markov_midis\markov_song_44.mid
45,"[[1, 2, 3, 5, 9], [1, 2, 3, 4, 5, 7, 9], [1, 2, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 6, 7, 9], [1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 8, 9]]","[[81, 77, 74, 74, 72], [81, 82, 81, 73, 74, 73, 74], [81, 79, 78, 76, 77, 77, 76], [81, 77, 81, 79, 58, 60], [81, 79, 81, 79, 77, 76, 73], [81, 72, 69, 78, 74, 72, 71, 72], [81, 78, 76, 77, 80, 78, 79, 79], [81, 78, 76, 78, 74, 72, 77]]","[[(1, 81), (2, 77), (3, 74), (5, 74), (9, 72)], [(1, 81), (2, 82), (3, 81), (4, 73), (5, 74), (7, 73), (9, 74)], [(1, 81), (2, 79), (3, 78), (4, 76), (5, 77), (7, 77), (9, 76)], [(1, 81), (3, 77), (4, 81), (5, 79), (7, 58), (9, 60)], [(1, 81), (3, 79), (4, 81), (5, 79), (6, 77), (7, 76), (9, 73)], [(1, 81), (3, 72), (4, 69), (5, 78), (6, 74), (7, 72), (8, 71), (9, 72)], [(1, 81), (3, 78), (4, 76), (5, 77), (7, 80), (8, 78), (9, 79), (11, 79)], [(1, 81), (3, 78), (4, 76), (5, 78), (7, 74), (8, 72), (9, 77)]]",markov_midis\markov_song_45.mid
46,"[[1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 6, 7, 8, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 2, 3, 5, 7, 8, 9, 11, 12], [1, 2, 3, 5, 6, 7, 8, 9, 11, 12]]","[[77, 79, 74, 75, 72, 71, 67, 66], [77, 82, 84, 86, 81, 81], [77, 76, 77, 75, 74, 78, 76, 81], [77, 79, 77, 76, 77, 81, 79, 76, 74, 78, 74], [77, 72, 70, 69, 72, 71, 69, 67, 70], [77, 79, 76, 76, 76, 79, 81, 78, 79], [77, 76, 77, 74, 69, 67, 66, 62, 65], [77, 79, 81, 81, 79, 81, 79, 81, 83, 81]]","[[(1, 77), (3, 79), (4, 74), (5, 75), (6, 72), (7, 71), (8, 67), (9, 66)], [(1, 77), (3, 82), (4, 84), (5, 86), (7, 81), (9, 81)], [(1, 77), (3, 76), (4, 77), (5, 75), (6, 74), (7, 78), (8, 76), (9, 81)], [(1, 77), (2, 79), (3, 77), (4, 76), (5, 77), (6, 81), (7, 79), (8, 76), (9, 74), (11, 78), (12, 74)], [(1, 77), (2, 72), (3, 70), (5, 69), (7, 72), (8, 71), (9, 69), (11, 67), (12, 70)], [(1, 77), (3, 79), (4, 76), (5, 76), (7, 76), (8, 79), (9, 81), (11, 78), (12, 79)], [(1, 77), (2, 76), (3, 77), (5, 74), (7, 69), (8, 67), (9, 66), (11, 62), (12, 65)], [(1, 77), (2, 79), (3, 81), (5, 81), (6, 79), (7, 81), (8, 79), (9, 81), (11, 83), (12, 81)]]",markov_midis\markov_song_46.mid
47,"[[1, 2, 3, 5, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 9, 11, 12], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 7, 8, 9]]","[[74, 73, 76, 74, 78, 74, 72, 70, 72], [74, 70, 74, 72, 71, 81, 83, 83, 79, 78], [74, 76, 74, 76, 76, 78, 76, 77], [74, 74, 70, 69, 72, 76, 79, 81], [74, 71, 73, 74, 76, 73, 69, 67, 69], [74, 74, 76, 78, 78, 78, 76, 74], [74, 70, 69, 66, 64, 73, 71, 69, 69, 67], [74, 69, 67, 66, 64, 64, 67, 69]]","[[(1, 74), (2, 73), (3, 76), (5, 74), (7, 78), (8, 74), (9, 72), (11, 70), (12, 72)], [(1, 74), (2, 70), (3, 74), (4, 72), (5, 71), (7, 81), (8, 83), (9, 83), (11, 79), (12, 78)], [(1, 74), (3, 76), (4, 74), (5, 76), (7, 76), (9, 78), (11, 76), (12, 77)], [(1, 74), (3, 74), (4, 70), (5, 69), (7, 72), (8, 76), (9, 79), (11, 81)], [(1, 74), (3, 71), (4, 73), (5, 74), (7, 76), (8, 73), (9, 69), (11, 67), (12, 69)], [(1, 74), (3, 74), (4, 76), (5, 78), (7, 78), (9, 78), (11, 76), (12, 74)], [(1, 74), (2, 70), (3, 69), (4, 66), (5, 64), (7, 73), (8, 71), (9, 69), (11, 69), (12, 67)], [(1, 74), (2, 69), (3, 67), (4, 66), (5, 64), (7, 64), (8, 67), (9, 69)]]",markov_midis\markov_song_47.mid
48,"[[1, 2, 3, 5, 7, 8, 9, 11, 12], [1, 3, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9]]","[[77, 79, 76, 76, 72, 76, 77, 76, 74], [77, 74, 79, 78, 76, 74, 69], [77, 76, 79, 77, 76, 74, 69, 72], [77, 81, 77, 79, 77, 76, 81], [77, 77, 75, 74, 76, 77, 76], [77, 76, 73, 74, 74, 79, 81], [77, 81, 77, 79, 78, 78, 76], [77, 76, 72, 60, 65, 64, 62]]","[[(1, 77), (2, 79), (3, 76), (5, 76), (7, 72), (8, 76), (9, 77), (11, 76), (12, 74)], [(1, 77), (3, 74), (5, 79), (7, 78), (8, 76), (9, 74), (11, 69)], [(1, 77), (3, 76), (4, 79), (5, 77), (7, 76), (8, 74), (9, 69), (11, 72)], [(1, 77), (3, 81), (4, 77), (5, 79), (7, 77), (8, 76), (9, 81)], [(1, 77), (3, 77), (5, 75), (6, 74), (7, 76), (8, 77), (9, 76)], [(1, 77), (3, 76), (4, 73), (5, 74), (7, 74), (8, 79), (9, 81)], [(1, 77), (3, 81), (4, 77), (5, 79), (7, 78), (8, 78), (9, 76)], [(1, 77), (3, 76), (4, 72), (5, 60), (7, 65), (8, 64), (9, 62)]]",markov_midis\markov_song_48.mid
49,"[[1, 3, 4, 5, 7, 8, 9], [1, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 6, 7, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12], [1, 3, 4, 5, 6, 7, 8, 9], [1, 2, 3, 4, 5, 7, 8, 9]]","[[73, 71, 67, 74, 76, 79, 77], [73, 76, 77, 74, 71, 69], [73, 71, 69, 70, 70, 74, 76, 76], [73, 74, 72, 75, 74, 72, 71, 69], [73, 74, 72, 71, 72, 71, 67, 65], [73, 74, 76, 78, 76, 74, 76, 74, 71, 71, 69], [73, 76, 78, 76, 74, 76, 77, 77], [73, 71, 72, 69, 65, 69, 65, 58]]","[[(1, 73), (3, 71), (4, 67), (5, 74), (7, 76), (8, 79), (9, 77)], [(1, 73), (4, 76), (5, 77), (7, 74), (8, 71), (9, 69)], [(1, 73), (2, 71), (3, 69), (4, 70), (5, 70), (7, 74), (8, 76), (9, 76)], [(1, 73), (2, 74), (3, 72), (4, 75), (5, 74), (7, 72), (8, 71), (9, 69)], [(1, 73), (2, 74), (3, 72), (4, 71), (5, 72), (6, 71), (7, 67), (9, 65)], [(1, 73), (2, 74), (3, 76), (4, 78), (5, 76), (6, 74), (7, 76), (8, 74), (9, 71), (11, 71), (12, 69)], [(1, 73), (3, 76), (4, 78), (5, 76), (6, 74), (7, 76), (8, 77), (9, 77)], [(1, 73), (2, 71), (3, 72), (4, 69), (5, 65), (7, 69), (8, 65), (9, 58)]]",markov_midis\markov_song_49.mid
50,"[[1, 2, 3, 4, 5, 7, 9, 11, 12], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 6, 7, 8, 9, 11], [1, 3, 5, 6, 7, 8, 9]]","[[69, 73, 74, 76, 76, 74, 76, 79, 72], [69, 74, 76, 77, 79, 77, 79, 78, 76, 78], [69, 70, 77, 81, 77, 74, 73, 76, 78, 81, 83], [69, 70, 69, 71, 72, 71, 69, 67, 66], [69, 67, 66, 67, 62, 66, 67, 70, 72], [69, 71, 72, 74, 71, 72, 71, 67], [69, 70, 74, 74, 72, 76, 74, 74, 79], [69, 79, 79, 76, 72, 76, 74]]","[[(1, 69), (2, 73), (3, 74), (4, 76), (5, 76), (7, 74), (9, 76), (11, 79), (12, 72)], [(1, 69), (2, 74), (3, 76), (4, 77), (5, 79), (7, 77), (8, 79), (9, 78), (11, 76), (12, 78)], [(1, 69), (2, 70), (3, 77), (4, 81), (5, 77), (6, 74), (7, 73), (8, 76), (9, 78), (11, 81), (12, 83)], [(1, 69), (2, 70), (3, 69), (5, 71), (7, 72), (8, 71), (9, 69), (11, 67), (12, 66)], [(1, 69), (3, 67), (4, 66), (5, 67), (7, 62), (8, 66), (9, 67), (11, 70), (12, 72)], [(1, 69), (3, 71), (4, 72), (5, 74), (7, 71), (8, 72), (9, 71), (11, 67)], [(1, 69), (3, 70), (4, 74), (5, 74), (6, 72), (7, 76), (8, 74), (9, 74), (11, 79)], [(1, 69), (3, 79), (5, 79), (6, 76), (7, 72), (8, 76), (9, 74)]]",markov_midis\markov_song_50.mid
51,"[[1, 2, 3, 5, 6, 7, 9], [1, 2, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 9, 10], [1, 3, 4, 5, 6, 7, 9, 10], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 8, 9], [1, 3, 5, 6, 7, 8, 9, 11]]","[[79, 81, 78, 78, 79, 82, 72], [79, 78, 79, 77, 79, 78, 79], [79, 75, 76, 77, 69, 66, 62], [79, 71, 69, 69, 71, 72, 71, 68], [79, 78, 76, 71, 73, 69], [79, 79, 79, 74, 71, 73, 71], [79, 84, 72, 72, 71, 71], [79, 84, 79, 78, 79, 76, 77, 76]]","[[(1, 79), (2, 81), (3, 78), (5, 78), (6, 79), (7, 82), (9, 72)], [(1, 79), (2, 78), (3, 79), (4, 77), (5, 79), (7, 78), (9, 79)], [(1, 79), (3, 75), (4, 76), (5, 77), (7, 69), (9, 66), (10, 62)], [(1, 79), (3, 71), (4, 69), (5, 69), (6, 71), (7, 72), (9, 71), (10, 68)], [(1, 79), (3, 78), (4, 76), (5, 71), (7, 73), (9, 69)], [(1, 79), (3, 79), (4, 79), (5, 74), (7, 71), (8, 73), (9, 71)], [(1, 79), (3, 84), (5, 72), (7, 72), (8, 71), (9, 71)], [(1, 79), (3, 84), (5, 79), (6, 78), (7, 79), (8, 76), (9, 77), (11, 76)]]",markov_midis\markov_song_51.mid
52,"[[1, 2, 3, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 5, 7, 9, 11, 12], [1, 3, 5, 7, 9, 11, 12], [1, 2, 3, 5, 7, 9, 11, 12], [1, 3, 4, 5, 7, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 5, 7, 9, 11, 12], [1, 2, 3, 4, 5, 7, 9, 11, 12]]","[[79, 78, 74, 72, 74, 72, 71, 69, 67, 64], [79, 81, 79, 76, 79, 79, 77, 79], [79, 78, 78, 74, 72, 72, 74], [79, 77, 76, 74, 78, 78, 76, 72], [79, 77, 79, 74, 72, 80, 78, 76], [79, 83, 79, 79, 76, 72, 74, 72, 69], [79, 76, 76, 81, 76, 72, 74], [79, 76, 77, 79, 81, 77, 76, 76, 74]]","[[(1, 79), (2, 78), (3, 74), (5, 72), (6, 74), (7, 72), (8, 71), (9, 69), (11, 67), (12, 64)], [(1, 79), (2, 81), (3, 79), (5, 76), (7, 79), (9, 79), (11, 77), (12, 79)], [(1, 79), (3, 78), (5, 78), (7, 74), (9, 72), (11, 72), (12, 74)], [(1, 79), (2, 77), (3, 76), (5, 74), (7, 78), (9, 78), (11, 76), (12, 72)], [(1, 79), (3, 77), (4, 79), (5, 74), (7, 72), (9, 80), (11, 78), (12, 76)], [(1, 79), (3, 83), (4, 79), (5, 79), (7, 76), (8, 72), (9, 74), (11, 72), (12, 69)], [(1, 79), (3, 76), (5, 76), (7, 81), (9, 76), (11, 72), (12, 74)], [(1, 79), (2, 76), (3, 77), (4, 79), (5, 81), (7, 77), (9, 76), (11, 76), (12, 74)]]",markov_midis\markov_song_52.mid
53,"[[1, 2, 3, 4, 5, 6, 7, 9], [1, 2, 3, 4, 5, 6, 7, 9], [1, 2, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 6, 7, 8, 9, 11], [1, 3, 4, 5, 6, 7, 9], [1, 2, 3, 4, 5, 6, 7, 9], [1, 2, 3, 4, 5, 7, 9, 11]]","[[66, 67, 66, 67, 71, 72, 79, 79], [66, 62, 64, 74, 74, 69, 66, 66], [66, 67, 69, 72, 74, 71, 74, 76], [66, 64, 61, 64, 67, 66, 62], [66, 76, 77, 74, 71, 69, 67, 69, 76], [66, 64, 66, 67, 69, 71, 69], [66, 62, 67, 69, 74, 71, 72, 72], [66, 62, 67, 69, 70, 67, 71, 69]]","[[(1, 66), (2, 67), (3, 66), (4, 67), (5, 71), (6, 72), (7, 79), (9, 79)], [(1, 66), (2, 62), (3, 64), (4, 74), (5, 74), (6, 69), (7, 66), (9, 66)], [(1, 66), (2, 67), (3, 69), (4, 72), (5, 74), (7, 71), (8, 74), (9, 76)], [(1, 66), (3, 64), (4, 61), (5, 64), (7, 67), (8, 66), (9, 62)], [(1, 66), (3, 76), (4, 77), (5, 74), (6, 71), (7, 69), (8, 67), (9, 69), (11, 76)], [(1, 66), (3, 64), (4, 66), (5, 67), (6, 69), (7, 71), (9, 69)], [(1, 66), (2, 62), (3, 67), (4, 69), (5, 74), (6, 71), (7, 72), (9, 72)], [(1, 66), (2, 62), (3, 67), (4, 69), (5, 70), (7, 67), (9, 71), (11, 69)]]",markov_midis\markov_song_53.mid
54,"[[1, 3, 5, 7, 8, 9, 11, 12], [1, 3, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 9], [1, 3, 5, 7, 9, 11], [1, 3, 4, 5, 7, 9, 11, 12], [1, 3, 5, 7, 9, 11, 12], [1, 3, 5, 7, 9, 11, 12]]","[[86, 86, 74, 69, 72, 79, 79, 78], [86, 86, 86, 85, 83, 84], [86, 84, 81, 79, 77, 75, 75], [86, 86, 83, 81, 79], [86, 81, 81, 78, 76, 67], [86, 86, 83, 81, 77, 76, 76, 79], [86, 86, 74, 78, 74, 76, 73], [86, 86, 83, 83, 81, 77, 79]]","[[(1, 86), (3, 86), (5, 74), (7, 69), (8, 72), (9, 79), (11, 79), (12, 78)], [(1, 86), (3, 86), (5, 86), (7, 85), (8, 83), (9, 84)], [(1, 86), (3, 84), (4, 81), (5, 79), (7, 77), (8, 75), (9, 75)], [(1, 86), (3, 86), (5, 83), (7, 81), (9, 79)], [(1, 86), (3, 81), (5, 81), (7, 78), (9, 76), (11, 67)], [(1, 86), (3, 86), (4, 83), (5, 81), (7, 77), (9, 76), (11, 76), (12, 79)], [(1, 86), (3, 86), (5, 74), (7, 78), (9, 74), (11, 76), (12, 73)], [(1, 86), (3, 86), (5, 83), (7, 83), (9, 81), (11, 77), (12, 79)]]",markov_midis\markov_song_54.mid
55,"[[1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 7, 9], [1, 3, 4, 5, 7, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 5, 7, 8, 9], [1, 3, 4, 5, 6, 7, 8, 9], [1, 2, 3, 4, 5, 6, 7, 8, 9]]","[[83, 71, 73, 74, 71, 74, 69], [83, 79, 81, 77, 79, 76, 77, 74], [83, 83, 79, 74, 72, 72], [83, 81, 78, 79, 76, 77, 81, 79], [83, 81, 80, 81, 79, 76, 74, 73], [83, 83, 83, 79, 76, 74], [83, 83, 79, 81, 79, 76, 77, 77], [83, 81, 77, 79, 78, 76, 78, 76, 74]]","[[(1, 83), (3, 71), (4, 73), (5, 74), (7, 71), (8, 74), (9, 69)], [(1, 83), (2, 79), (3, 81), (4, 77), (5, 79), (7, 76), (8, 77), (9, 74)], [(1, 83), (3, 83), (4, 79), (5, 74), (7, 72), (9, 72)], [(1, 83), (3, 81), (4, 78), (5, 79), (7, 76), (9, 77), (11, 81), (12, 79)], [(1, 83), (3, 81), (4, 80), (5, 81), (7, 79), (8, 76), (9, 74), (11, 73)], [(1, 83), (3, 83), (5, 83), (7, 79), (8, 76), (9, 74)], [(1, 83), (3, 83), (4, 79), (5, 81), (6, 79), (7, 76), (8, 77), (9, 77)], [(1, 83), (2, 81), (3, 77), (4, 79), (5, 78), (6, 76), (7, 78), (8, 76), (9, 74)]]",markov_midis\markov_song_55.mid
56,"[[1, 5, 6, 7, 9, 11], [1, 5, 6, 7, 9], [1, 5, 7, 9], [1, 4, 5, 7, 9], [1, 3, 4, 5, 7, 9, 11], [1, 3, 4, 5, 7, 8, 9, 10, 11], [1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 7, 8, 9]]","[[79, 70, 69, 72, 71, 69], [79, 79, 77, 76, 77], [79, 79, 81, 79], [79, 77, 81, 79, 83], [79, 83, 86, 84, 82, 72, 71], [79, 79, 74, 74, 73, 69, 72, 55, 72], [79, 83, 81, 79, 78, 74, 72], [79, 77, 76, 74, 78, 79, 74, 76]]","[[(1, 79), (5, 70), (6, 69), (7, 72), (9, 71), (11, 69)], [(1, 79), (5, 79), (6, 77), (7, 76), (9, 77)], [(1, 79), (5, 79), (7, 81), (9, 79)], [(1, 79), (4, 77), (5, 81), (7, 79), (9, 83)], [(1, 79), (3, 83), (4, 86), (5, 84), (7, 82), (9, 72), (11, 71)], [(1, 79), (3, 79), (4, 74), (5, 74), (7, 73), (8, 69), (9, 72), (10, 55), (11, 72)], [(1, 79), (3, 83), (4, 81), (5, 79), (7, 78), (8, 74), (9, 72)], [(1, 79), (2, 77), (3, 76), (4, 74), (5, 78), (7, 79), (8, 74), (9, 76)]]",markov_midis\markov_song_56.mid
57,"[[1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9], [1, 2, 3, 4, 5, 7, 8, 9, 11], [1, 2, 3, 4, 5, 9, 11], [1, 2, 3, 4, 5, 6, 7, 9, 11], [1, 3, 4, 5, 6, 7, 9, 11, 12]]","[[76, 78, 76, 74, 69, 67, 66, 66, 64], [76, 69, 72, 70, 68, 67, 70], [76, 72, 70, 72, 70, 67, 65, 62, 59], [76, 76, 77, 74, 74, 79, 81], [76, 74, 72, 71, 69, 69, 67, 65, 64], [76, 79, 77, 79, 77, 77, 79], [76, 78, 79, 76, 76, 74, 72, 55, 71], [76, 81, 78, 79, 77, 77, 76, 76, 78]]","[[(1, 76), (3, 78), (4, 76), (5, 74), (7, 69), (8, 67), (9, 66), (11, 66), (12, 64)], [(1, 76), (3, 69), (4, 72), (5, 70), (9, 68), (11, 67), (12, 70)], [(1, 76), (3, 72), (4, 70), (5, 72), (7, 70), (8, 67), (9, 65), (11, 62), (12, 59)], [(1, 76), (3, 76), (4, 77), (5, 74), (7, 74), (8, 79), (9, 81)], [(1, 76), (2, 74), (3, 72), (4, 71), (5, 69), (7, 69), (8, 67), (9, 65), (11, 64)], [(1, 76), (2, 79), (3, 77), (4, 79), (5, 77), (9, 77), (11, 79)], [(1, 76), (2, 78), (3, 79), (4, 76), (5, 76), (6, 74), (7, 72), (9, 55), (11, 71)], [(1, 76), (3, 81), (4, 78), (5, 79), (6, 77), (7, 77), (9, 76), (11, 76), (12, 78)]]",markov_midis\markov_song_57.mid
58,"[[1, 3, 4, 5, 7, 8, 9, 10, 11], [1, 3, 4, 5, 6, 7, 9, 10, 11], [1, 3, 4, 5, 6, 7, 8, 9, 10], [1, 3, 4, 5, 6, 7, 9], [1, 3, 4, 5, 6, 7, 8, 9, 10, 11], [1, 3, 4, 5, 6, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 5, 7, 9]]","[[81, 79, 81, 79, 75, 79, 76, 67, 68], [81, 81, 79, 78, 76, 77, 75, 74, 72], [81, 72, 71, 72, 76, 77, 79, 81, 84], [81, 83, 79, 81, 80, 81, 69], [81, 65, 67, 69, 66, 67, 66, 62, 60, 58], [81, 69, 72, 74, 82, 81, 79, 75], [81, 79, 74, 73, 73, 74, 73], [81, 81, 73, 74, 74]]","[[(1, 81), (3, 79), (4, 81), (5, 79), (7, 75), (8, 79), (9, 76), (10, 67), (11, 68)], [(1, 81), (3, 81), (4, 79), (5, 78), (6, 76), (7, 77), (9, 75), (10, 74), (11, 72)], [(1, 81), (3, 72), (4, 71), (5, 72), (6, 76), (7, 77), (8, 79), (9, 81), (10, 84)], [(1, 81), (3, 83), (4, 79), (5, 81), (6, 80), (7, 81), (9, 69)], [(1, 81), (3, 65), (4, 67), (5, 69), (6, 66), (7, 67), (8, 66), (9, 62), (10, 60), (11, 58)], [(1, 81), (3, 69), (4, 72), (5, 74), (6, 82), (7, 81), (8, 79), (9, 75)], [(1, 81), (3, 79), (4, 74), (5, 73), (7, 73), (8, 74), (9, 73)], [(1, 81), (3, 81), (5, 73), (7, 74), (9, 74)]]",markov_midis\markov_song_58.mid
59,"[[1, 2, 3, 5, 6, 7, 8, 9, 11], [1, 2, 3, 5, 6, 7, 9, 11, 12], [1, 3, 5, 6, 7, 8, 9, 10, 11, 12], [1, 3, 4, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12], [1, 2, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 4, 5, 7, 9, 11, 12]]","[[79, 76, 74, 74, 70, 72, 69, 70, 68], [79, 78, 76, 77, 76, 74, 74, 74, 73], [79, 78, 79, 77, 76, 72, 69, 72, 81, 79], [79, 82, 81, 82, 79, 81, 77, 74, 72, 69], [79, 81, 79, 76, 77, 81, 79, 81, 83, 84, 83], [79, 78, 76, 75, 77, 81, 79, 81, 79, 74], [79, 76, 79, 78, 79, 74, 71, 69], [79, 78, 76, 77, 77, 62, 69, 74]]","[[(1, 79), (2, 76), (3, 74), (5, 74), (6, 70), (7, 72), (8, 69), (9, 70), (11, 68)], [(1, 79), (2, 78), (3, 76), (5, 77), (6, 76), (7, 74), (9, 74), (11, 74), (12, 73)], [(1, 79), (3, 78), (5, 79), (6, 77), (7, 76), (8, 72), (9, 69), (10, 72), (11, 81), (12, 79)], [(1, 79), (3, 82), (4, 81), (5, 82), (6, 79), (7, 81), (8, 77), (9, 74), (11, 72), (12, 69)], [(1, 79), (2, 81), (3, 79), (4, 76), (5, 77), (6, 81), (7, 79), (8, 81), (9, 83), (11, 84), (12, 83)], [(1, 79), (2, 78), (3, 76), (4, 75), (5, 77), (7, 81), (8, 79), (9, 81), (11, 79), (12, 74)], [(1, 79), (3, 76), (4, 79), (5, 78), (7, 79), (8, 74), (9, 71), (11, 69)], [(1, 79), (3, 78), (4, 76), (5, 77), (7, 77), (9, 62), (11, 69), (12, 74)]]",markov_midis\markov_song_59.mid
60,"[[1, 3, 5, 7, 9, 11, 12], [1, 3, 5, 7, 9, 11, 12], [1, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11, 12], [1, 3, 4, 5, 7, 8, 9, 11], [1, 3, 5, 7, 8, 9], [1, 3, 4, 5, 7, 8, 9], [1, 3, 4, 5, 6, 7, 9]]","[[69, 81, 81, 76, 74, 78, 79], [69, 65, 70, 58, 60, 69, 67], [69, 57, 57, 60, 76, 76, 74], [69, 74, 71, 69, 67, 69, 72, 70, 69], [69, 71, 73, 74, 76, 79, 81, 69], [69, 74, 79, 76, 79, 79], [69, 69, 73, 74, 76, 79, 81], [69, 69, 65, 64, 65, 70, 70]]","[[(1, 69), (3, 81), (5, 81), (7, 76), (9, 74), (11, 78), (12, 79)], [(1, 69), (3, 65), (5, 70), (7, 58), (9, 60), (11, 69), (12, 67)], [(1, 69), (5, 57), (7, 57), (8, 60), (9, 76), (11, 76), (12, 74)], [(1, 69), (3, 74), (4, 71), (5, 69), (7, 67), (8, 69), (9, 72), (11, 70), (12, 69)], [(1, 69), (3, 71), (4, 73), (5, 74), (7, 76), (8, 79), (9, 81), (11, 69)], [(1, 69), (3, 74), (5, 79), (7, 76), (8, 79), (9, 79)], [(1, 69), (3, 69), (4, 73), (5, 74), (7, 76), (8, 79), (9, 81)], [(1, 69), (3, 69), (4, 65), (5, 64), (6, 65), (7, 70), (9, 70)]]",markov_midis\markov_song_60.mid
